name,date
A/Thailand/12/2021|EPI_ISL_5327616|2021-06-24,2021/6/24
A/Thailand/10/2021|EPI_ISL_5327621|2021-06-24,2021/6/24
A/Vietnam/Vnhcm-Gs535/2019|EPI_ISL_1296306|2019-10-24,2019/10/24
A/California/55/2020|EPI_ISL_717646|2020-10-12,2020/10/12
A/Laos/766/2021|EPI_ISL_2245460|2021-03-02,2021/3/2
A/Laos/504/2021|EPI_ISL_2245463|2021-02-16,2021/2/16
A/Laos/1125/2021|EPI_ISL_5327617|2021-03-23,2021/3/23
A/Ayutthaya/56/2020|EPI_ISL_1296342|2020-11-09,2020/11/9
A/Ayutthaya/56/2020|EPI_ISL_1367581|2020-11-09,2020/11/9
A/Cambodia/981/2020|EPI_ISL_1296362|2020-09-15,2020/9/15
A/Bangkok/57/2020|EPI_ISL_1296363|2020-11-10,2020/11/10
A/Bangkok/57/2020|EPI_ISL_1367580|2020-11-10,2020/11/10
A/Laos/941/2021|EPI_ISL_5327614|2021-03-17,2021/3/17
A/Cambodia/1189/2020|EPI_ISL_1455651|2020-10-08,2020/10/8
A/Cambodia/1167/2020|EPI_ISL_1455650|2020-10-08,2020/10/8
A/Cambodia/1180/2020|EPI_ISL_1455652|2020-10-08,2020/10/8
A/Cambodia/1171/2020|EPI_ISL_1455654|2020-10-08,2020/10/8
A/Bangkok/59/2020|EPI_ISL_1367579|2020-11-11,2020/11/11
A/Bangkok/59/2020|EPI_ISL_1296328|2020-11-11,2020/11/11
A/Bangkok/62/2020|EPI_ISL_1367582|2020-11-11,2020/11/11
A/Ayutthaya/61/2020|EPI_ISL_1296327|2020-11-10,2020/11/10
A/Ayutthaya/60/2020|EPI_ISL_1367568|2020-11-10,2020/11/10
A/Laos/1218/2021|EPI_ISL_5983995|2021-03-29,2021/3/29
A/Laos/1218/2021|EPI_ISL_5327626|2021-03-29,2021/3/29
A/Vietnam/Vnhcm-Gs653/2019|EPI_ISL_1296346|2019-12-24,2019/12/24
A/Vietnam/Vnhcm-Gs653/2019|EPI_ISL_1296302|2019-12-24,2019/12/24
A/Vietnam/Vnhcm-Gs507/2020|EPI_ISL_1064141|2020-10-21,2020/10/21
A/Thailand/8/2021|EPI_ISL_4197191|2021-06-18,2021/6/18
A/Bangkok/58/2020|EPI_ISL_1367583|2020-11-10,2020/11/10
A/Bangkok/58/2020|EPI_ISL_1296340|2020-11-10,2020/11/10
A/Cambodia/e0908377/2020|EPI_ISL_536569|2020-07-29,2020/7/29
A/Cambodia/nC_73301/2020|EPI_ISL_710458|2020-09-14,2020/9/14
A/Cambodia/20080717/2020|EPI_ISL_534310|2020-08-18,2020/8/18
A/YAMAGATA/1/2021|EPI_ISL_1386235|2021-02-09,2021/2/9
A/YAMAGATA/1/2021|EPI_ISL_3162307|2021-02-09,2021/2/9
A/YAMAGATA/2/2021|EPI_ISL_3162308|2021-02-09,2021/2/9
A/Laos/F1221/2021|EPI_ISL_4221807|2021-03-29,2021/3/29
A/Laos/F1221/2021|EPI_ISL_4221811|2021-03-29,2021/3/29
A/Laos/F0993/2021|EPI_ISL_4221802|2021-03-15,2021/3/15
A/Laos/F0826/2021|EPI_ISL_4221796|2021-03-09,2021/3/9
A/Laos/F0993/2021|EPI_ISL_4221801|2021-03-15,2021/3/15
A/Laos/F1071/2021|EPI_ISL_4221805|2021-03-23,2021/3/23
A/Laos/F1071/2021|EPI_ISL_4221806|2021-03-23,2021/3/23
A/Laos/F1343/2021|EPI_ISL_4221815|2021-04-05,2021/4/5
A/Cambodia/nC_80628/2020|EPI_ISL_710460|2020-09-24,2020/9/24
A/Thailand/4/2021|EPI_ISL_5933269|2021-06-18,2021/6/18
A/Cambodia/E0826360/2020|EPI_ISL_1367566|2020-07-16,2020/7/16
A/Laos/F1040/2021|EPI_ISL_4221804|2021-03-22,2021/3/22
A/Laos/F0971/2021|EPI_ISL_4221800|2021-03-18,2021/3/18
A/Laos/F1384/2021|EPI_ISL_4221817|2021-04-08,2021/4/8
A/Thailand/7/2021|EPI_ISL_4760584|2021-06-18,2021/6/18
A/Cambodia/e1009251/2020|EPI_ISL_944641|2020-10-08,2020/10/8
A/MIYAGI/1/2021|EPI_ISL_2932448|2021-03-02,2021/3/2
A/MIYAGI/2/2021|EPI_ISL_2932450|2021-03-02,2021/3/2
A/MIYAGI/2/2021|EPI_ISL_2932451|2021-03-02,2021/3/2
A/Texas/10921/2019|EPI_ISL_414206|2019-12-09,2019/12/9
A/Netherlands/10259/2019|EPI_ISL_416278|2019-10-31,2019/10/31
A/Al_Buraymi/6055/2019|EPI_ISL_401529|2019-10-07,2019/10/7
A/Iran/189177/2019|EPI_ISL_403278|2019-11-03,2019/11/3
A/England/94540759/2019|EPI_ISL_401560|2019-10-25,2019/10/25
A/Qatar/10-VI-19-0062853/2019|EPI_ISL_406195|2019-10-18,2019/10/18
A/Athens.GR/1952/2019|EPI_ISL_407445|2019-11-22,2019/11/22
A/Sur/6859/2019|EPI_ISL_401623|2019-10-26,2019/10/26
A/Sweden/1/2020|EPI_ISL_412388|2020-01-03,2020/1/3
A/Georgia/1275/2019|EPI_ISL_407474|2019-12-27,2019/12/27
A/Qatar/47-VI-19-0066945/2019|EPI_ISL_406213|2019-10-30,2019/10/30
A/Qatar/34-VI-19-0070454/2019|EPI_ISL_406205|2019-11-10,2019/11/10
A/Norway/2320/2020|EPI_ISL_500746|2020-03-24,2020/3/24
A/Singapore/TT0942/2019|EPI_ISL_401491|2019-11-27,2019/11/27
A/Quebec/166/2019|EPI_ISL_411539|2019-12-05,2019/12/5
A/Qatar/16-VI-19-0049409/2019|EPI_ISL_529133|2019-08-27,2019/8/27
