name,date
A/Netherlands/10257/2022|EPI_ISL_11166208|2022-03-07,2022/3/7
A/Netherlands/10246/2022|EPI_ISL_11449465|2022-03-04,2022/3/4
A/Netherlands/10745/2022|EPI_ISL_11886186|2022-03-25,2022/3/25
A/Netherlands/10748/2022|EPI_ISL_11886218|2022-03-26,2022/3/26
A/Netherlands/10769/2022|EPI_ISL_11886416|2022-03-21,2022/3/21
A/Netherlands/10909/2022|EPI_ISL_12064269|2022-04-03,2022/4/3
A/Netherlands/10873/2022|EPI_ISL_12249338|2022-04-08,2022/4/8
A/Netherlands/10148/2022|EPI_ISL_10945396|2022-02-15,2022/2/15
A/Netherlands/10251/2022|EPI_ISL_11166203|2022-03-05,2022/3/5
A/Netherlands/10432/2022|EPI_ISL_11449475|2022-03-09,2022/3/9
A/Netherlands/10851/2022|EPI_ISL_12212599|2022-04-04,2022/4/4
A/Netherlands/10951/2022|EPI_ISL_12249345|2022-04-11,2022/4/11
A/Netherlands/10231/2022|EPI_ISL_11449460|2022-02-28,2022/2/28
A/Netherlands/10973/2022|EPI_ISL_12249357|2022-04-12,2022/4/12
A/Netherlands/10026/2022|EPI_ISL_9489350|2022-01-27,2022/1/27
A/Netherlands/10881/2022|EPI_ISL_12064241|2022-03-30,2022/3/30
A/Netherlands/10968/2022|EPI_ISL_12249354|2022-04-12,2022/4/12
A/Netherlands/11198/2022|EPI_ISL_12429506|2022-04-12,2022/4/12
A/Netherlands/10068/2022|EPI_ISL_10434303|2022-02-08,2022/2/8
A/Netherlands/10130/2022|EPI_ISL_10945257|2022-02-22,2022/2/22
A/Netherlands/10739/2022|EPI_ISL_11887919|2022-03-23,2022/3/23
A/Nimes/871/2021|EPI_ISL_9140494|2021-11-19,2021/11/19
A/Belgium/G0001/2022|EPI_ISL_9842675|2021-12-17,2021/12/17
A/Belgium/G0001/2022|EPI_ISL_12241587|2021-12-17,2021/12/17
A/Catalonia/NSVH101733715/2022|EPI_ISL_9994999|2022-01-21,2022/1/21
A/Catalonia/NSVH101735933/2022|EPI_ISL_9995003|2022-01-24,2022/1/24
A/Catalonia/NSVH101733051/2022|EPI_ISL_9995289|2022-01-21,2022/1/21
A/Catalonia/NSVH101748606/2022|EPI_ISL_10120187|2022-02-08,2022/2/8
A/Netherlands/10918/2022|EPI_ISL_12212610|2022-03-29,2022/3/29
A/Netherlands/10201/2021|EPI_ISL_8452404|2021-12-26,2021/12/26
A/Netherlands/10201/2021|EPI_ISL_9627700|2021-12-26,2021/12/26
A/Murcia/10207/2021|EPI_ISL_8896337|2021-12-05,2021/12/5
A/Netherlands/10042/2022|EPI_ISL_9750621|2022-01-27,2022/1/27
A/Netherlands/10103/2022|EPI_ISL_10678505|2022-02-23,2022/2/23
A/Centre/01915/2022|EPI_ISL_11324773|2022-01-07,2022/1/7
A/PARIS/09224/2022|EPI_ISL_11814511|2021-12-24,2021/12/24
A/Netherlands/10735/2022|EPI_ISL_11887915|2022-03-20,2022/3/20
A/Netherlands/10820/2022|EPI_ISL_11887929|2022-03-24,2022/3/24
A/Netherlands/11033/2022|EPI_ISL_12212657|2022-04-07,2022/4/7
A/Catalonia/NSVH101761579/2022|EPI_ISL_11635009|2022-02-24,2022/2/24
A/Le_Mans/15006/2022|EPI_ISL_11814495|2022-02-24,2022/2/24
A/PARIS/09222/2022|EPI_ISL_11814509|2021-12-24,2021/12/24
A/PARIS/09225/2022|EPI_ISL_11814539|2021-12-28,2021/12/28
A/Ile_de_France/50420/2021|EPI_ISL_9702165|2021-12-17,2021/12/17
A/Catalonia/NSVH101717090/2022|EPI_ISL_9994830|2022-01-03,2022/1/3
A/Netherlands/10677/2022|EPI_ISL_11887865|2022-03-28,2022/3/28
A/Netherlands/11311/2022|EPI_ISL_12567903|2022-04-19,2022/4/19
A/Netherlands/00005/2022|EPI_ISL_9027248|2022-01-09,2022/1/9
A/Netherlands/10718/2022|EPI_ISL_11887879|2022-03-22,2022/3/22
A/Netherlands/10687/2022|EPI_ISL_11887869|2022-03-28,2022/3/28
A/Netherlands/10734/2022|EPI_ISL_11887914|2022-03-20,2022/3/20
A/Netherlands/11125/2022|EPI_ISL_12429466|2022-04-11,2022/4/11
A/Netherlands/10853/2022|EPI_ISL_12212601|2022-04-04,2022/4/4
A/Netherlands/10761/2022|EPI_ISL_11886363|2022-03-14,2022/3/14
A/Netherlands/11167/2022|EPI_ISL_12429484|2022-04-05,2022/4/5
A/PARIS/09210/2022|EPI_ISL_11814502|2021-12-30,2021/12/30
A/Ile_de_France/54452/2021|EPI_ISL_11324736|2022-01-03,2022/1/3
A/Rouen/46942/2021|EPI_ISL_8808701|2021-11-30,2021/11/30
